PLAYER_ID,PLAYER,AVG
46046,Scottie Scheffler,1.398
35532,Tom Hoge,1.029
33204,Shane Lowry,0.87
39997,Corey Conners,0.798
29725,Tony Finau,0.773
56630,Akshay Bhatia,0.727
33448,Justin Thomas,0.712
47483,Will Zalatoris,0.694
25900,Lucas Glover,0.676
26596,Ryan Moore,0.656
47420,Jake Knapp,0.653
39546,Keith Mitchell,0.643
46414,Aaron Rai,0.637
48153,Matthieu Pavon,0.607
30163,Henrik Norlander,0.602
47679,Victor Perez,0.594
37455,Si Woo Kim,0.57
30692,Scott Stallings,0.55
52955,Ludvig Åberg,0.531
34076,Joel Dahmen,0.529
25493,Nick Taylor,0.528
51997,Andrew Novak,0.521
27064,Jhonattan Vegas,0.513
57362,Austin Eckroat,0.51
32757,Patton Kizzire,0.497
52375,Doug Ghim,0.491
48081,Xander Schauffele,0.489
32839,Hideki Matsuyama,0.484
57366,Cameron Young,0.477
51890,Greyson Sigg,0.47
34021,Bud Cauley,0.469
59442,Parker Coody,0.463
33413,Ben Martin,0.44
48117,Kurt Kitayama,0.42
30926,Chris Kirk,0.41
45242,Kevin Yu,0.409
33141,Keegan Bradley,0.407
51634,Sahith Theegala,0.4
51766,Wyndham Clark,0.394
54783,Dylan Wu,0.384
45522,Christiaan Bezuidenhout,0.377
36801,Mark Hubbard,0.374
37275,Sam Ryder,0.366
40006,Erik van Rooyen,0.358
27349,Alex Noren,0.352
40162,Justin Lower,0.348
27129,Luke List,0.344
57900,Chandler Phillips,0.333
40115,Adam Svensson,0.299
51696,Rico Hoey,0.297
34256,Andrew Putnam,0.275
58168,Davis Thompson,0.274
34587,Chan Kim,0.273
28775,Nate Lashley,0.273
33948,Byeong Hun An,0.256
40026,Daniel Berger,0.254
35310,Lanto Griffin,0.24
32367,Jorge Campillo,0.239
26476,Chez Reavie,0.233
60004,Jacob Bridgeman,0.231
34098,Russell Henley,0.217
52513,Carson Young,0.215
47591,Eric Cole,0.193
39977,Max Homa,0.19
47504,Sam Burns,0.182
29908,C.T. Pan,0.178
52453,Nicolai Højgaard,0.171
31323,Gary Woodland,0.166
39324,J.J. Spaun,0.155
29420,Billy Horschel,0.145
54628,Lee Hodges,0.129
48887,Matt Wallace,0.129
27139,David Skinns,0.128
12716,Charley Hoffman,0.126
51287,Ryo Hisatsune,0.125
24502,Adam Scott,0.125
28237,Rory McIlroy,0.12
40098,Matt Fitzpatrick,0.119
51977,Max Greyserman,0.103
57975,Harry Hall,0.085
27644,Brian Harman,0.082
39975,Michael Kim,0.078
32640,Troy Merritt,0.073
31646,Emiliano Grillo,0.066
47993,Denny McCarthy,0.064
28252,Seamus Power,0.058
49947,Taylor Moore,0.052
33968,Thorbjørn Olesen,0.044
36799,Stephan Jaeger,0.036
24024,Zach Johnson,0.028
30927,Brendon Todd,0.025
46340,Alex Smalley,0.023
46441,Robby Shelton,0.016
34466,Peter Malnati,0.013
34374,Erik Barnes,0.007
50525,Collin Morikawa,-0.021
55182,Tom Kim,-0.027
32070,Rafael Campos,-0.032
54591,Ben Griffin,-0.046
49771,J.T. Poston,-0.047
34563,Chesson Hadley,-0.055
29936,Ryan Fox,-0.056
33399,Adam Hadwin,-0.066
34213,Grayson Murray,-0.07
52666,Sami Valimaki,-0.078
47663,Kevin Dougherty,-0.08
49960,Sepp Straka,-0.086
48319,Tom Whitney,-0.099
59143,Mac Meissner,-0.1
34046,Jordan Spieth,-0.103
36326,David Lipsky,-0.106
48867,Matti Schmid,-0.11
27936,Martin Laird,-0.112
52374,Brandon Wu,-0.119
46442,Maverick McNealy,-0.12
40250,Taylor Pendrith,-0.125
52215,Robert MacIntyre,-0.129
47988,Nick Hardy,-0.133
35450,Patrick Cantlay,-0.135
36699,Patrick Rodgers,-0.142
27214,Kevin Streelman,-0.143
32102,Rickie Fowler,-0.144
39327,Ben Silverman,-0.144
34255,Joseph Bramlett,-0.148
45157,Cam Davis,-0.163
33408,Tyson Alexander,-0.169
40058,Zac Blair,-0.183
47079,Harrison Endycott,-0.183
34099,Harris English,-0.2
