PLAYER_ID,PLAYER_NAME,scoring_average,SG_OTT,SG_APP,SG_ATG,SG_PUTTING
12716,"Charley Hoffman",71.178,0.012,0.126,0.013,-0.098
22371,"Aaron Baddeley",70.998,-0.781,-0.372,0.63,0.758
22405,"Justin Rose",72.09,-0.163,-0.773,0.065,0.264
23108,"Matt Kuchar",71.986,-0.127,-1.137,0.185,0.221
23320,"Ryan Palmer",71.802,0.3,-0.388,0.017,-0.686
24024,"Zach Johnson",70.999,-0.226,0.028,0.013,0.442
24502,"Adam Scott",70.858,0.461,0.125,-0.183,0.408
24980,"Scott Gutschewski",73.255,-0.099,-0.983,-0.006,-0.642
25493,"Nick Taylor",71.364,-0.173,0.528,-0.278,0.522
25900,"Lucas Glover",71.122,0.015,0.676,0.38,-0.568
26476,"Chez Reavie",71.455,-0.741,0.233,0.577,-0.358
26596,"Ryan Moore",71.579,0.07,0.656,0.143,-0.714
27064,"Jhonattan Vegas",71.045,0.496,0.513,-0.365,-0.998
27129,"Luke List",71.362,0.125,0.344,-0.428,-0.057
27139,"David Skinns",71.184,-0.073,0.128,-0.055,0.063
27214,"Kevin Streelman",72.064,-0.239,-0.143,-0.06,-0.491
27330,"Josh Teater",72.624,-0.473,-0.416,0.323,-0.939
27349,"Alex Noren",69.921,0.383,0.352,0.391,0.256
27644,"Brian Harman",70.816,0.082,0.082,0.193,0.596
27649,"Brandt Snedeker",73.167,-0.532,-0.854,-0.324,-0.294
27770,"Camilo Villegas",73.044,-1.122,-0.519,-0.125,-0.295
27936,"Martin Laird",71.106,-0.342,-0.112,0.352,0.247
28089,"Jason Day",71.148,0.256,-0.419,0.252,0.476
28237,"Rory McIlroy",70.769,0.787,0.12,-0.047,0.045
28252,"Seamus Power",71.782,-0.201,0.058,0.096,-0.317
28420,"Ryan Brehm",72.821,-0.157,-0.605,-0.514,0.044
28775,"Nate Lashley",70.975,0.046,0.273,0.269,0.065
29221,"Webb Simpson",71.32,0.275,-0.347,0.4,-0.405
29268,"Bronson Burgoon",71.486,0.164,-0.291,-0.121,-0.494
29420,"Billy Horschel",69.855,0.307,0.145,0.141,0.578
29478,"Kevin Kisner",73.556,-1.053,-0.73,-0.605,0.105
29725,"Tony Finau",70.912,0.308,0.773,0.235,-0.468
29908,"C.T. Pan",71.227,-0.216,0.178,0.239,-0.028
29936,"Ryan Fox",71.673,-0.34,-0.056,-0.244,0.081
30163,"Henrik Norlander",71.011,-0.431,0.602,-0.437,-0.051
30692,"Scott Stallings",71.167,-0.252,0.55,0.182,-0.543
30911,"Tommy Fleetwood",71.542,0.179,-0.721,0.379,0.023
30926,"Chris Kirk",70.772,0.576,0.41,0.321,-0.383
30927,"Brendon Todd",71.131,-0.459,0.025,0.285,0.519
31323,"Gary Woodland",72.287,-0.167,0.166,-0.263,-0.69
31646,"Emiliano Grillo",71.39,0.133,0.066,-0.471,0.501
32070,"Rafael Campos",70.983,0.316,-0.032,-0.242,-0.031
32102,"Rickie Fowler",72.518,-0.606,-0.144,0.162,-0.244
32366,"Kevin Chappell",71.841,-0.372,-0.558,0.26,0.263
32367,"Jorge Campillo",70.759,-0.101,0.239,0.432,-0.167
32640,"Troy Merritt",71.461,-0.235,0.073,0.252,-0.228
32757,"Patton Kizzire",71.438,-0.255,0.497,-0.465,-0.097
32791,"K.H. Lee",70.949,0.039,-0.221,0.16,0.141
32839,"Hideki Matsuyama",70.745,0.338,0.484,0.712,-0.395
33141,"Keegan Bradley",71.602,0.056,0.407,0.051,-0.655
33204,"Shane Lowry",70.963,0.261,0.87,-0.025,-0.343
33399,"Adam Hadwin",71.254,-0.009,-0.066,0.034,0.13
33408,"Tyson Alexander",71.549,-0.268,-0.169,0.183,0.49
33413,"Ben Martin",71.197,-0.028,0.44,-0.252,0.24
33448,"Justin Thomas",70.578,0.102,0.712,0.32,-0.431
33486,"Roger Sloan",72.166,-0.355,-0.306,0.598,-0.214
33653,"Thomas Detry",70.928,0.22,-0.256,-0.396,0.549
33948,"Byeong Hun An",70.8,0.466,0.256,0.021,-0.14
33968,"Thorbjørn Olesen",71.847,-0.373,0.044,0.263,-0.197
