RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,68.743,2631,49.965,39
2,0,29420,Billy Horschel,69.855,2276,29.213,33
3,1,27349,Alex Noren,69.921,2674,52.935,39
4,-1,48081,Xander Schauffele,69.973,2686,42.937,39
5,0,51766,Wyndham Clark,70.241,2408,50.437,35
6,0,52955,Ludvig Åberg,70.254,2705,34.900,39
7,0,51634,Sahith Theegala,70.297,2845,37.173,41
8,0,56630,Akshay Bhatia,70.299,2845,37.267,41
9,0,39546,Keith Mitchell,70.326,2974,50.012,43
10,2,37455,Si Woo Kim,70.397,3245,63.650,47
11,-1,45522,Christiaan Bezuidenhout,70.456,2710,37.785,39
12,-1,48153,Matthieu Pavon,70.469,2299,26.462,33
13,3,36799,Stephan Jaeger,70.481,2846,43.709,41
14,0,52375,Doug Ghim,70.541,2717,34.104,39
15,0,35532,Tom Hoge,70.555,3382,75.210,49
16,2,46442,Maverick McNealy,70.563,2916,47.652,42
17,0,33448,Justin Thomas,70.578,2019,27.775,29
18,-5,58168,Davis Thompson,70.587,2778,45.470,40
19,6,54591,Ben Griffin,70.630,3401,59.858,49
20,39,40250,Taylor Pendrith,70.638,2298,33.066,33
21,-2,36801,Mark Hubbard,70.652,3265,55.654,47
22,17,46414,Aaron Rai,70.679,2851,46.824,41
23,-3,47679,Victor Perez,70.685,2096,24.550,30
24,10,40162,Justin Lower,70.719,3139,43.362,45
25,5,51997,Andrew Novak,70.720,2581,35.635,37
26,-3,47483,Will Zalatoris,70.735,2246,17.515,32
27,-5,34587,Chan Kim,70.737,2926,44.967,42
28,-4,57362,Austin Eckroat,70.738,2797,32.524,40
29,-3,32839,Hideki Matsuyama,70.745,2726,33.048,39
30,12,32367,Jorge Campillo,70.759,1816,23.723,26
31,-4,28237,Rory McIlroy,70.769,2179,14.830,31
32,-4,30926,Chris Kirk,70.772,2566,52.581,37
33,-3,49771,J.T. Poston,70.790,2848,54.373,41
34,26,33948,Byeong Hun An,70.800,2994,50.409,43
35,-14,34021,Bud Cauley,70.803,1543,14.670,22
36,-1,27644,Brian Harman,70.816,2721,40.828,39
