RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,1.398,41.928,30
2,0,35532,Tom Hoge,1.029,44.258,43
3,0,33204,Shane Lowry,0.870,20.009,23
4,1,39997,Corey Conners,0.798,30.333,38
5,1,29725,Tony Finau,0.773,23.954,31
6,1,56630,Akshay Bhatia,0.727,24.001,33
7,1,33448,Justin Thomas,0.712,15.674,22
8,1,47483,Will Zalatoris,0.694,15.963,23
9,1,25900,Lucas Glover,0.676,22.982,34
10,-6,26596,Ryan Moore,0.656,19.020,29
11,7,47420,Jake Knapp,0.653,24.147,37
12,-1,39546,Keith Mitchell,0.643,23.806,37
13,10,46414,Aaron Rai,0.637,19.755,31
14,-1,48153,Matthieu Pavon,0.607,13.954,23
15,0,30163,Henrik Norlander,0.602,6.017,10
16,-1,47679,Victor Perez,0.594,12.464,21
17,12,37455,Si Woo Kim,0.570,21.665,38
18,1,30692,Scott Stallings,0.550,10.998,20
19,1,52955,Ludvig Åberg,0.531,17.525,33
20,-6,34076,Joel Dahmen,0.529,14.275,27
21,0,25493,Nick Taylor,0.528,17.961,34
22,-10,51997,Andrew Novak,0.521,17.190,33
23,-6,27064,Jhonattan Vegas,0.513,10.774,21
24,-2,57362,Austin Eckroat,0.510,16.843,33
25,13,32757,Patton Kizzire,0.497,7.953,16
26,5,52375,Doug Ghim,0.491,15.218,31
27,-2,48081,Xander Schauffele,0.489,14.188,29
28,-1,32839,Hideki Matsuyama,0.484,15.970,33
29,-1,57366,Cameron Young,0.477,16.213,34
30,0,51890,Greyson Sigg,0.470,13.621,29
31,-6,34021,Bud Cauley,0.469,9.370,20
32,2,59442,Parker Coody,0.463,12.500,27
33,-17,33413,Ben Martin,0.440,11.001,25
34,-1,48117,Kurt Kitayama,0.420,13.441,32
35,0,30926,Chris Kirk,0.410,11.485,28
36,6,45242,Kevin Yu,0.409,10.222,25
37,-1,33141,Keegan Bradley,0.407,10.984,27
38,-1,51634,Sahith Theegala,0.400,14.007,35
39,0,51766,Wyndham Clark,0.394,11.039,28
40,6,54783,Dylan Wu,0.384,13.450,35
41,-1,45522,Christiaan Bezuidenhout,0.377,12.446,33
42,-18,36801,Mark Hubbard,0.374,13.848,37
43,4,37275,Sam Ryder,0.366,9.890,27
44,-1,40006,Erik van Rooyen,0.358,11.467,32
45,4,27349,Alex Noren,0.352,10.558,30
46,-2,40162,Justin Lower,0.348,12.528,36
47,-15,27129,Luke List,0.344,11.346,33
48,-7,57900,Chandler Phillips,0.333,9.321,28
49,1,40115,Adam Svensson,0.299,11.645,39
50,-3,51696,Rico Hoey,0.297,6.236,21
51,0,34256,Andrew Putnam,0.275,9.359,34
52,0,58168,Davis Thompson,0.274,8.509,31
53,2,34587,Chan Kim,0.273,7.916,29
53,-8,28775,Nate Lashley,0.273,6.824,25
55,6,33948,Byeong Hun An,0.256,9.733,38
56,10,40026,Daniel Berger,0.254,4.326,17
57,21,35310,Lanto Griffin,0.240,5.531,23
58,35,32367,Jorge Campillo,0.239,4.779,20
59,6,26476,Chez Reavie,0.233,4.895,21
60,-4,60004,Jacob Bridgeman,0.231,4.842,21
61,-8,34098,Russell Henley,0.217,6.935,32
62,-8,52513,Carson Young,0.215,6.650,31
63,-6,47591,Eric Cole,0.193,7.144,37
64,-6,39977,Max Homa,0.190,5.885,31
65,-6,47504,Sam Burns,0.182,5.107,28
66,-4,29908,C.T. Pan,0.178,4.440,25
67,-4,52453,Nicolai Højgaard,0.171,3.586,21
68,-4,31323,Gary Woodland,0.166,4.153,25
69,11,39324,J.J. Spaun,0.155,4.174,27
70,-2,29420,Billy Horschel,0.145,3.626,25
71,0,54628,Lee Hodges,0.129,4.255,33
