RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,32839,Hideki Matsuyama,0.712,23.498,33
2,1,22371,Aaron Baddeley,0.630,19.532,31
3,-1,33486,Roger Sloan,0.598,8.968,15
4,1,26476,Chez Reavie,0.577,12.119,21
5,1,46046,Scottie Scheffler,0.480,14.392,30
6,-2,35506,Mackenzie Hughes,0.471,18.359,39
7,6,36799,Stephan Jaeger,0.441,14.537,33
8,1,32367,Jorge Campillo,0.432,8.638,20
9,1,29221,Webb Simpson,0.400,9.606,24
10,15,59143,Mac Meissner,0.399,7.583,19
11,-3,50188,S.H. Kim,0.394,14.581,37
12,7,27349,Alex Noren,0.391,11.723,30
13,-1,54591,Ben Griffin,0.387,13.554,35
14,2,25900,Lucas Glover,0.380,12.935,34
15,2,30911,Tommy Fleetwood,0.379,9.092,24
16,4,46441,Robby Shelton,0.378,11.707,31
17,4,57975,Harry Hall,0.377,11.692,31
18,5,47993,Denny McCarthy,0.355,12.783,36
19,-4,27936,Martin Laird,0.352,9.498,27
20,-6,56149,Wilson Furr,0.336,5.039,15
20,7,49771,J.T. Poston,0.336,10.747,32
22,-15,27330,Josh Teater,0.323,4.847,15
23,6,30926,Chris Kirk,0.321,9.001,28
24,4,37455,Si Woo Kim,0.320,12.179,38
24,6,33448,Justin Thomas,0.320,7.043,22
26,0,51997,Andrew Novak,0.311,10.265,33
27,6,48081,Xander Schauffele,0.309,8.955,29
28,10,51287,Ryo Hisatsune,0.307,8.900,29
29,5,34098,Russell Henley,0.305,9.776,32
30,-9,40058,Zac Blair,0.300,7.510,25
31,0,60067,Joe Highsmith,0.293,6.149,21
31,-7,46442,Maverick McNealy,0.293,10.842,37
33,3,49947,Taylor Moore,0.290,10.724,37
34,3,50525,Collin Morikawa,0.288,7.198,25
35,4,30927,Brendon Todd,0.285,10.836,38
36,3,28775,Nate Lashley,0.269,6.720,25
37,-2,33968,Thorbjørn Olesen,0.263,4.208,16
38,-27,32366,Kevin Chappell,0.260,4.156,16
39,-21,28089,Jason Day,0.252,7.316,29
39,2,32640,Troy Merritt,0.252,6.308,25
41,1,34099,Harris English,0.243,8.515,35
41,1,39977,Max Homa,0.243,7.537,31
43,-1,29908,C.T. Pan,0.239,5.978,25
44,4,55454,Carl Yuan,0.237,6.175,26
45,0,29725,Tony Finau,0.235,7.298,31
46,33,40250,Taylor Pendrith,0.219,5.475,25
47,-15,58168,Davis Thompson,0.211,6.537,31
48,2,34256,Andrew Putnam,0.206,7.004,34
49,2,35461,Beau Hossler,0.201,6.630,33
49,27,48887,Matt Wallace,0.201,6.242,31
51,1,27644,Brian Harman,0.193,6.954,36
51,-2,39327,Ben Silverman,0.193,5.605,29
53,0,55789,Taylor Montgomery,0.191,5.532,29
54,-7,23108,Matt Kuchar,0.185,3.695,20
55,4,33408,Tyson Alexander,0.183,5.843,32
56,-2,30692,Scott Stallings,0.182,3.649,20
57,-2,51766,Wyndham Clark,0.176,4.934,28
58,5,34255,Joseph Bramlett,0.174,5.404,31
59,-3,47347,Adam Schenk,0.164,6.730,41
60,-3,32102,Rickie Fowler,0.162,4.859,30
61,-16,32791,K.H. Lee,0.160,4.649,29
62,19,55893,Sam Stevens,0.148,4.869,33
