RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,1,47663,Kevin Dougherty,0.987,22.690,23
2,-1,46046,Scottie Scheffler,0.957,28.715,30
3,2,38991,Alejandro Tosti,0.873,23.565,27
4,-1,45242,Kevin Yu,0.842,21.046,25
5,-1,52372,Cameron Champ,0.830,19.085,23
6,0,39546,Keith Mitchell,0.827,30.583,37
7,0,28237,Rory McIlroy,0.787,20.459,26
8,1,51696,Rico Hoey,0.684,14.364,21
9,5,37378,Min Woo Lee,0.664,16.592,25
10,-2,48081,Xander Schauffele,0.637,18.460,29
11,-1,30926,Chris Kirk,0.576,16.134,28
12,0,52955,Ludvig Åberg,0.535,17.657,33
12,4,51600,Jimmy Stanger,0.535,11.231,21
14,-1,51766,Wyndham Clark,0.530,14.847,28
15,-4,37455,Si Woo Kim,0.526,19.973,38
16,12,36799,Stephan Jaeger,0.498,16.444,33
17,4,27064,Jhonattan Vegas,0.496,10.417,21
18,-1,52453,Nicolai Højgaard,0.474,9.962,21
19,-1,33948,Byeong Hun An,0.466,17.720,38
20,27,24502,Adam Scott,0.461,11.053,24
21,-2,51634,Sahith Theegala,0.453,15.862,35
22,9,40026,Daniel Berger,0.416,7.074,17
23,0,39997,Corey Conners,0.413,15.690,38
24,-4,46442,Maverick McNealy,0.412,15.230,37
25,0,48117,Kurt Kitayama,0.404,12.940,32
25,4,55454,Carl Yuan,0.404,10.508,26
27,3,47347,Adam Schenk,0.402,16.478,41
28,11,34046,Jordan Spieth,0.394,11.432,29
29,-3,57366,Cameron Young,0.390,13.244,34
30,12,27349,Alex Noren,0.383,11.483,30
31,21,54576,Patrick Fishburn,0.369,4.797,13
32,-8,34076,Joel Dahmen,0.353,9.519,27
32,0,57362,Austin Eckroat,0.353,11.648,33
34,-1,56630,Akshay Bhatia,0.349,11.506,33
35,-1,39971,Sungjae Im,0.348,10.787,31
36,0,50525,Collin Morikawa,0.345,8.616,25
37,0,45609,Tyler Duncan,0.344,7.901,23
38,0,49960,Sepp Straka,0.342,8.550,25
39,1,32839,Hideki Matsuyama,0.338,11.166,33
40,-13,52375,Doug Ghim,0.330,10.232,31
41,0,47504,Sam Burns,0.328,9.188,28
42,-20,32070,Rafael Campos,0.316,5.370,17
43,1,29725,Tony Finau,0.308,9.540,31
44,1,29420,Billy Horschel,0.307,7.670,25
45,-10,23320,Ryan Palmer,0.300,5.998,20
46,0,52666,Sami Valimaki,0.299,8.077,27
47,2,51070,Vincent Norrman,0.298,8.652,29
48,0,36699,Patrick Rodgers,0.288,10.360,36
49,2,29221,Webb Simpson,0.275,6.609,24
50,11,34255,Joseph Bramlett,0.266,8.233,31
51,2,33204,Shane Lowry,0.261,5.993,23
52,6,28089,Jason Day,0.256,7.431,29
53,15,52514,Trace Crowe,0.252,3.523,14
54,15,46414,Aaron Rai,0.246,7.633,31
55,0,54328,Norman Xiong,0.238,4.293,18
56,1,40006,Erik van Rooyen,0.235,7.511,32
57,-1,48319,Tom Whitney,0.229,4.804,21
58,1,34099,Harris English,0.228,7.996,35
58,1,47679,Victor Perez,0.228,4.798,21
60,-6,33653,Thomas Detry,0.220,6.810,31
61,14,52513,Carson Young,0.213,6.600,31
62,1,48153,Matthieu Pavon,0.211,4.858,23
