RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,55789,Taylor Montgomery,0.887,25.713,29
2,3,34466,Peter Malnati,0.759,20.503,27
3,-1,22371,Aaron Baddeley,0.758,23.509,31
4,0,47806,Raul Pereda,0.746,9.696,13
5,3,50493,Justin Suh,0.744,17.114,23
6,-3,34310,Alexander Björk,0.726,18.151,25
7,0,47993,Denny McCarthy,0.717,25.799,36
8,1,51634,Sahith Theegala,0.710,24.835,35
9,1,51766,Wyndham Clark,0.679,19.002,28
10,2,45522,Christiaan Bezuidenhout,0.647,21.362,33
11,6,40250,Taylor Pendrith,0.601,15.018,25
12,1,27644,Brian Harman,0.596,21.447,36
13,-7,47983,Chad Ramey,0.592,15.992,27
14,1,29420,Billy Horschel,0.578,14.447,25
15,12,50188,S.H. Kim,0.558,20.631,37
16,2,33653,Thomas Detry,0.549,17.013,31
17,2,25493,Nick Taylor,0.522,17.763,34
18,2,30927,Brendon Todd,0.519,19.729,38
19,2,48153,Matthieu Pavon,0.502,11.536,23
20,2,31646,Emiliano Grillo,0.501,18.525,37
21,23,33408,Tyson Alexander,0.490,15.672,32
22,-8,34046,Jordan Spieth,0.484,14.027,29
23,0,28089,Jason Day,0.476,13.794,29
24,13,50484,Hayden Springer,0.462,8.775,19
25,3,35461,Beau Hossler,0.461,15.213,33
26,-1,52372,Cameron Champ,0.459,10.549,23
27,-3,34099,Harris English,0.458,16.019,35
28,-2,40098,Matt Fitzpatrick,0.443,14.186,32
29,37,24024,Zach Johnson,0.442,7.964,18
30,-14,24502,Adam Scott,0.408,9.789,24
31,3,47504,Sam Burns,0.379,10.613,28
32,22,35506,Mackenzie Hughes,0.373,14.556,39
33,-22,59836,Pierceson Coody,0.369,6.278,17
34,7,59095,Chris Gotterup,0.365,8.749,24
35,3,40006,Erik van Rooyen,0.356,11.397,32
36,3,56630,Akshay Bhatia,0.351,11.587,33
37,-5,46442,Maverick McNealy,0.339,12.550,37
38,10,54591,Ben Griffin,0.336,11.750,35
39,3,47591,Eric Cole,0.330,12.195,37
40,-7,60004,Jacob Bridgeman,0.323,6.776,21
41,4,34256,Andrew Putnam,0.321,10.922,34
42,4,48081,Xander Schauffele,0.315,9.138,29
43,4,34098,Russell Henley,0.311,9.963,32
44,5,49771,J.T. Poston,0.304,9.725,32
45,-9,37275,Sam Ryder,0.295,7.961,27
46,-16,35532,Tom Hoge,0.267,11.481,43
47,6,22405,Justin Rose,0.264,6.609,25
48,21,32366,Kevin Chappell,0.263,4.208,16
49,3,39327,Ben Silverman,0.257,7.447,29
50,9,27349,Alex Noren,0.256,7.693,30
50,-7,54328,Norman Xiong,0.256,4.609,18
52,-2,51349,Nico Echavarria,0.255,7.406,29
53,15,27936,Martin Laird,0.247,6.661,27
54,8,33413,Ben Martin,0.240,5.999,25
55,1,35450,Patrick Cantlay,0.229,5.720,25
56,35,23108,Matt Kuchar,0.221,4.412,20
57,-26,34563,Chesson Hadley,0.219,5.027,23
58,-23,54421,Garrick Higgo,0.209,5.863,28
59,-8,48887,Matt Wallace,0.205,6.348,31
60,0,47420,Jake Knapp,0.202,7.488,37
60,-5,47347,Adam Schenk,0.202,8.269,41
62,2,48867,Matti Schmid,0.192,5.191,27
63,7,36801,Mark Hubbard,0.186,6.864,37
64,-24,52514,Trace Crowe,0.169,2.361,14
65,9,59866,Nick Dunlap,0.163,4.243,26
66,14,39975,Michael Kim,0.153,4.135,27
67,12,40162,Justin Lower,0.152,5.464,36
68,-5,55893,Sam Stevens,0.145,4.794,33
69,11,32791,K.H. Lee,0.141,4.088,29
70,-12,52666,Sami Valimaki,0.138,3.735,27
71,0,47988,Nick Hardy,0.136,4.765,35
72,1,33399,Adam Hadwin,0.130,3.645,28
73,4,51977,Max Greyserman,0.123,2.461,20
