RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.835,0.957,1.398,0.480,30
2,0,32839,Hideki Matsuyama,1.535,0.338,0.484,0.712,33
3,0,48081,Xander Schauffele,1.435,0.637,0.489,0.309,29
4,0,37455,Si Woo Kim,1.417,0.526,0.570,0.320,38
5,0,29725,Tony Finau,1.316,0.308,0.773,0.235,31
6,0,30926,Chris Kirk,1.308,0.576,0.410,0.321,28
7,0,39546,Keith Mitchell,1.303,0.827,0.643,-0.167,37
8,0,33448,Justin Thomas,1.135,0.102,0.712,0.320,22
9,6,27349,Alex Noren,1.126,0.383,0.352,0.391,30
10,-1,33204,Shane Lowry,1.106,0.261,0.870,-0.025,23
11,-1,51766,Wyndham Clark,1.101,0.530,0.394,0.176,28
12,-1,25900,Lucas Glover,1.071,0.015,0.676,0.380,34
13,-1,56630,Akshay Bhatia,1.059,0.349,0.727,-0.017,33
14,-1,52955,Ludvig Åberg,1.025,0.535,0.531,-0.042,33
14,-1,39997,Corey Conners,1.025,0.413,0.798,-0.187,38
16,1,57362,Austin Eckroat,0.977,0.353,0.510,0.144,33
17,2,36799,Stephan Jaeger,0.975,0.498,0.036,0.441,33
18,9,46414,Aaron Rai,0.889,0.246,0.637,0.005,31
19,-3,26596,Ryan Moore,0.869,0.070,0.656,0.143,29
20,-2,51997,Andrew Novak,0.864,0.032,0.521,0.311,33
21,0,28237,Rory McIlroy,0.861,0.787,0.120,-0.047,26
22,-2,52375,Doug Ghim,0.854,0.330,0.491,0.033,31
23,-1,51634,Sahith Theegala,0.819,0.453,0.400,-0.035,35
24,1,47679,Victor Perez,0.760,0.228,0.594,-0.062,21
25,1,48117,Kurt Kitayama,0.750,0.404,0.420,-0.075,32
26,-2,34021,Bud Cauley,0.747,0.208,0.469,0.071,20
27,4,33948,Byeong Hun An,0.744,0.466,0.256,0.021,38
28,-5,34076,Joel Dahmen,0.703,0.353,0.529,-0.179,27
29,-1,57366,Cameron Young,0.701,0.390,0.477,-0.166,34
30,-1,47483,Will Zalatoris,0.687,0.144,0.694,-0.151,23
31,3,27064,Jhonattan Vegas,0.645,0.496,0.513,-0.365,21
32,10,35532,Tom Hoge,0.623,-0.134,1.029,-0.272,43
33,0,51696,Rico Hoey,0.616,0.684,0.297,-0.365,21
34,20,40026,Daniel Berger,0.612,0.416,0.254,-0.059,17
34,-2,50525,Collin Morikawa,0.612,0.345,-0.021,0.288,25
36,-2,34098,Russell Henley,0.595,0.072,0.217,0.305,32
37,-1,29420,Billy Horschel,0.593,0.307,0.145,0.141,25
38,-8,28775,Nate Lashley,0.588,0.046,0.273,0.269,25
39,-1,46442,Maverick McNealy,0.585,0.412,-0.120,0.293,37
40,18,32367,Jorge Campillo,0.570,-0.101,0.239,0.432,20
41,2,45242,Kevin Yu,0.543,0.842,0.409,-0.708,25
42,-5,51890,Greyson Sigg,0.534,-0.054,0.470,0.119,29
43,-4,49947,Taylor Moore,0.520,0.178,0.052,0.290,37
44,-3,33141,Keegan Bradley,0.514,0.056,0.407,0.051,27
45,1,34587,Chan Kim,0.496,0.156,0.273,0.067,29
46,-2,48153,Matthieu Pavon,0.487,0.211,0.607,-0.331,23
47,-2,30692,Scott Stallings,0.480,-0.252,0.550,0.182,20
48,-1,34046,Jordan Spieth,0.429,0.394,-0.103,0.138,29
49,14,47420,Jake Knapp,0.423,-0.197,0.653,-0.033,37
50,-2,40006,Erik van Rooyen,0.406,0.235,0.358,-0.187,32
51,14,24502,Adam Scott,0.404,0.461,0.125,-0.183,24
52,-12,36801,Mark Hubbard,0.401,-0.080,0.374,0.107,37
53,-3,58168,Davis Thompson,0.388,-0.098,0.274,0.211,31
54,3,37378,Min Woo Lee,0.372,0.664,-0.253,-0.039,25
55,-2,55454,Carl Yuan,0.369,0.404,-0.272,0.237,26
56,-5,39977,Max Homa,0.366,-0.068,0.190,0.243,31
57,-5,27644,Brian Harman,0.357,0.082,0.082,0.193,36
58,18,47347,Adam Schenk,0.340,0.402,-0.227,0.164,41
59,-4,29221,Webb Simpson,0.329,0.275,-0.347,0.400,24
60,-11,59442,Parker Coody,0.298,-0.103,0.463,-0.062,27
61,1,34255,Joseph Bramlett,0.292,0.266,-0.148,0.174,31
62,-3,49771,J.T. Poston,0.283,-0.006,-0.047,0.336,32
63,-3,47504,Sam Burns,0.279,0.328,0.182,-0.233,28
64,-3,34099,Harris English,0.272,0.228,-0.200,0.243,35
65,6,51287,Ryo Hisatsune,0.267,-0.165,0.125,0.307,29
66,-1,45522,Christiaan Bezuidenhout,0.237,-0.092,0.377,-0.048,33
67,6,39971,Sungjae Im,0.208,0.348,-0.238,0.098,31
68,-3,29908,C.T. Pan,0.201,-0.216,0.178,0.239,25
69,15,40162,Justin Lower,0.184,-0.129,0.348,-0.035,36
70,8,40098,Matt Fitzpatrick,0.175,0.034,0.119,0.022,32
70,7,54783,Dylan Wu,0.175,-0.316,0.384,0.106,35
72,7,52453,Nicolai Højgaard,0.172,0.474,0.171,-0.473,21
73,8,36699,Patrick Rodgers,0.169,0.288,-0.142,0.023,36
74,8,35450,Patrick Cantlay,0.165,0.183,-0.135,0.116,25
75,-7,33413,Ben Martin,0.161,-0.028,0.440,-0.252,25
76,-4,59143,Mac Meissner,0.157,-0.142,-0.100,0.399,19
77,22,52513,Carson Young,0.156,0.213,0.215,-0.271,31
78,-8,39327,Ben Silverman,0.153,0.104,-0.144,0.193,29
79,25,47663,Kevin Dougherty,0.152,0.987,-0.080,-0.754,23
80,3,12716,Charley Hoffman,0.151,0.012,0.126,0.013,25
81,4,34256,Andrew Putnam,0.127,-0.355,0.275,0.206,34
82,25,54591,Ben Griffin,0.097,-0.245,-0.046,0.387,35
83,-15,28089,Jason Day,0.090,0.256,-0.419,0.252,29
83,15,32640,Troy Merritt,0.090,-0.235,0.073,0.252,25
85,-11,57900,Chandler Phillips,0.089,-0.249,0.333,0.005,28
86,4,25493,Nick Taylor,0.077,-0.173,0.528,-0.278,34
87,15,26476,Chez Reavie,0.069,-0.741,0.233,0.577,21
88,-2,57975,Harry Hall,0.067,-0.395,0.085,0.377,31
89,-33,51977,Max Greyserman,0.066,-0.085,0.103,0.049,20
90,-2,52215,Robert MacIntyre,0.060,0.145,-0.129,0.044,25
91,2,47993,Denny McCarthy,0.058,-0.361,0.064,0.355,36
92,-12,35506,Mackenzie Hughes,0.056,-0.105,-0.310,0.471,39
93,1,34213,Grayson Murray,0.050,0.149,-0.070,-0.030,24
94,1,40115,Adam Svensson,0.049,-0.177,0.299,-0.073,39
95,25,32070,Rafael Campos,0.042,0.316,-0.032,-0.242,17
96,-4,27129,Luke List,0.041,0.125,0.344,-0.428,33
97,0,49960,Sepp Straka,0.035,0.342,-0.086,-0.222,25
98,23,38991,Alejandro Tosti,0.014,0.873,-0.519,-0.340,27
99,-10,27139,David Skinns,0.001,-0.073,0.128,-0.055,25
100,1,35310,Lanto Griffin,-0.018,0.152,0.240,-0.411,23
101,-14,32791,K.H. Lee,-0.022,0.039,-0.221,0.160,29
102,38,40250,Taylor Pendrith,-0.038,-0.132,-0.125,0.219,25
103,6,33399,Adam Hadwin,-0.041,-0.009,-0.066,0.034,28
104,-1,52666,Sami Valimaki,-0.044,0.299,-0.078,-0.266,27
105,0,28252,Seamus Power,-0.047,-0.201,0.058,0.096,39
106,-15,51600,Jimmy Stanger,-0.055,0.535,-0.577,-0.013,21
107,-43,33486,Roger Sloan,-0.062,-0.355,-0.306,0.598,15
108,3,33968,Thorbjørn Olesen,-0.067,-0.373,0.044,0.263,16
109,-34,23320,Ryan Palmer,-0.071,0.300,-0.388,0.017,20
110,-4,55893,Sam Stevens,-0.075,0.156,-0.379,0.148,33
111,34,48887,Matt Wallace,-0.094,-0.424,0.129,0.201,31
112,-2,27936,Martin Laird,-0.101,-0.342,-0.112,0.352,27
113,0,45609,Tyler Duncan,-0.108,0.344,-0.459,0.006,23
114,5,50188,S.H. Kim,-0.129,-0.274,-0.250,0.394,37
115,14,34563,Chesson Hadley,-0.133,0.070,-0.055,-0.147,23
116,-20,50484,Hayden Springer,-0.139,0.153,-0.267,-0.025,19
117,-3,30927,Brendon Todd,-0.149,-0.459,0.025,0.285,38
118,-1,60004,Jacob Bridgeman,-0.151,-0.335,0.231,-0.047,21
119,-4,30911,Tommy Fleetwood,-0.162,0.179,-0.721,0.379,24
120,31,46340,Alex Smalley,-0.167,0.158,0.023,-0.347,23
121,-3,24024,Zach Johnson,-0.185,-0.226,0.028,0.013,18
122,22,56149,Wilson Furr,-0.188,-0.069,-0.455,0.336,15
123,-11,35461,Beau Hossler,-0.201,-0.021,-0.381,0.201,33
124,17,32757,Patton Kizzire,-0.222,-0.255,0.497,-0.465,16
125,10,59095,Chris Gotterup,-0.237,0.158,-0.371,-0.024,24
126,-3,29268,Bronson Burgoon,-0.248,0.164,-0.291,-0.121,17
127,-19,33408,Tyson Alexander,-0.255,-0.268,-0.169,0.183,32
128,-3,31323,Gary Woodland,-0.264,-0.167,0.166,-0.263,25
129,0,30163,Henrik Norlander,-0.266,-0.431,0.602,-0.437,10
130,-4,31646,Emiliano Grillo,-0.272,0.133,0.066,-0.471,37
131,-1,39324,J.J. Spaun,-0.276,-0.245,0.155,-0.186,27
132,-8,55182,Tom Kim,-0.278,-0.178,-0.027,-0.073,32
133,-17,46441,Robby Shelton,-0.281,-0.674,0.016,0.378,31
134,-7,48867,Matti Schmid,-0.286,0.089,-0.110,-0.265,27
135,4,52374,Brandon Wu,-0.316,-0.203,-0.119,0.006,22
136,-5,34466,Peter Malnati,-0.341,-0.379,0.013,0.024,27
137,-16,40058,Zac Blair,-0.366,-0.485,-0.183,0.300,25
138,-2,34374,Erik Barnes,-0.390,-0.479,0.007,0.082,20
139,3,37275,Sam Ryder,-0.410,-0.444,0.366,-0.333,27
140,-3,33653,Thomas Detry,-0.432,0.220,-0.256,-0.396,31
141,-3,54628,Lee Hodges,-0.438,-0.117,0.129,-0.450,33
142,-42,27214,Kevin Streelman,-0.443,-0.239,-0.143,-0.060,16
143,-9,51070,Vincent Norrman,-0.466,0.298,-0.439,-0.325,29
144,3,47988,Nick Hardy,-0.488,0.197,-0.133,-0.552,35
145,-2,47079,Harrison Endycott,-0.491,-0.173,-0.183,-0.136,15
146,12,51349,Nico Echavarria,-0.497,-0.061,-0.388,-0.047,29
147,-19,48319,Tom Whitney,-0.500,0.229,-0.099,-0.630,21
148,6,36326,David Lipsky,-0.505,-0.393,-0.106,-0.008,25
149,-3,54421,Garrick Higgo,-0.519,-0.092,-0.335,-0.092,28
150,6,22371,Aaron Baddeley,-0.523,-0.781,-0.372,0.630,31
151,-19,27330,Josh Teater,-0.566,-0.473,-0.416,0.323,15
152,-2,32102,Rickie Fowler,-0.587,-0.606,-0.144,0.162,30
153,-4,39975,Michael Kim,-0.594,-0.613,0.078,-0.059,27
154,-1,45157,Cam Davis,-0.633,-0.174,-0.163,-0.296,28
155,-3,36871,Matt NeSmith,-0.638,0.032,-0.358,-0.313,25
156,-8,29936,Ryan Fox,-0.640,-0.340,-0.056,-0.244,23
