RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.851,85.523,85.050,.474,30
2,0,51766,Wyndham Clark,1.780,49.836,30.835,19.002,28
3,0,48081,Xander Schauffele,1.750,50.756,41.617,9.138,29
4,0,51634,Sahith Theegala,1.528,53.488,28.653,24.835,35
5,0,56630,Akshay Bhatia,1.410,46.542,34.952,11.587,33
6,0,27349,Alex Noren,1.382,41.472,33.779,7.693,30
7,0,29420,Billy Horschel,1.171,29.263,14.815,14.447,25
8,0,52955,Ludvig Åberg,1.144,37.761,33.814,3.947,33
9,0,32839,Hideki Matsuyama,1.140,37.613,50.648,-13.035,33
10,0,37455,Si Woo Kim,1.088,41.332,53.832,-12.500,38
11,4,36799,Stephan Jaeger,1.005,33.177,32.183,.995,33
12,1,48153,Matthieu Pavon,0.988,22.732,11.197,11.536,23
13,3,27644,Brian Harman,0.953,34.316,12.869,21.447,36
14,-2,52375,Doug Ghim,0.948,29.373,26.476,2.894,31
15,2,30926,Chris Kirk,0.925,25.908,36.635,-10.726,28
16,-2,46442,Maverick McNealy,0.924,34.206,21.655,12.550,37
17,5,39546,Keith Mitchell,0.918,33.971,48.215,-14.245,37
18,-7,34046,Jordan Spieth,0.913,26.471,12.443,14.027,29
19,0,34098,Russell Henley,0.906,28.990,19.027,9.963,32
20,0,28237,Rory McIlroy,0.905,23.539,22.382,1.159,26
21,-3,35532,Tom Hoge,0.890,38.276,26.795,11.481,43
22,-1,45522,Christiaan Bezuidenhout,0.885,29.196,7.834,21.362,33
23,13,46414,Aaron Rai,0.866,26.859,27.555,-.698,31
24,-1,29725,Tony Finau,0.848,26.297,40.806,-14.510,31
25,-1,57362,Austin Eckroat,0.839,27.695,32.253,-4.557,33
26,-1,51997,Andrew Novak,0.817,26.965,28.517,-1.554,33
27,-1,24502,Adam Scott,0.811,19.473,9.684,9.789,24
28,-1,47993,Denny McCarthy,0.775,27.897,2.098,25.799,36
29,-1,33204,Shane Lowry,0.763,17.548,25.449,-7.899,23
30,-1,40006,Erik van Rooyen,0.762,24.380,12.983,11.397,32
31,-1,34099,Harris English,0.730,25.546,9.527,16.019,35
32,0,33448,Justin Thomas,0.704,15.492,24.965,-9.473,22
33,2,47504,Sam Burns,0.658,18.411,7.798,10.613,28
34,-1,28775,Nate Lashley,0.653,16.334,14.702,1.631,25
